USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.1  43952 17316 ?        Ss   Apr05   0:05 /usr/lib/systemd/systemd --switched-root --system --deserialize=60 rhgb
root         581  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-btrfs-rmw]
root         582  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-btrfs-endio-write]
root         583  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-btrfs-freespace-write]
root         584  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-btrfs-delayed-meta]
root         585  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-btrfs-qgroup-rescan]
root         586  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-ttm]
root         587  0.0  0.0      0     0 ?        S    Apr05   0:00 [btrfs-cleaner]
root         588  0.0  0.0      0     0 ?        S    Apr05   0:27 [btrfs-transaction]
root         614  0.0  0.0      0     0 ?        S    Apr05   0:00 [card1-crtc0]
root         615  0.0  0.0      0     0 ?        S    Apr05   0:00 [card1-crtc1]
root         616  0.0  0.0      0     0 ?        S    Apr05   0:00 [card1-crtc2]
root         617  0.0  0.0      0     0 ?        S    Apr05   0:00 [card1-crtc3]
root         672  0.0  0.0      0     0 ?        S    Apr05   0:00 [psimon]
root         683  0.0  0.5 208380 85716 ?        Ss   Apr05   0:06 /usr/lib/systemd/systemd-journald
root         713  0.0  0.0  16612  6780 ?        Ss   Apr05   0:00 /usr/lib/systemd/systemd-userdbd
root         731  0.0  0.0  42316 11208 ?        Ss   Apr05   0:01 /usr/lib/systemd/systemd-udevd
root         736  0.0  0.0      0     0 ?        S    Apr05   0:00 [psimon]
root         861  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-cfg80211]
root         892  0.0  0.0      0     0 ?        S    Apr05   0:05 [irq/156-iwlwifi:default_queue]
root         893  0.0  0.0      0     0 ?        S    Apr05   0:00 [irq/157-iwlwifi:queue_1]
root         894  0.0  0.0      0     0 ?        S    Apr05   0:00 [irq/158-iwlwifi:queue_2]
root         895  0.0  0.0      0     0 ?        S    Apr05   0:00 [irq/159-iwlwifi:queue_3]
root         896  0.0  0.0      0     0 ?        S    Apr05   0:00 [irq/160-iwlwifi:queue_4]
root         897  0.0  0.0      0     0 ?        S    Apr05   0:00 [irq/161-iwlwifi:queue_5]
root         898  0.0  0.0      0     0 ?        S    Apr05   0:00 [irq/162-iwlwifi:queue_6]
root         899  0.0  0.0      0     0 ?        S    Apr05   0:00 [irq/163-iwlwifi:queue_7]
root         900  0.0  0.0      0     0 ?        S    Apr05   0:00 [irq/164-iwlwifi:queue_8]
root         901  0.0  0.0      0     0 ?        S    Apr05   0:00 [nv_queue]
root         902  0.0  0.0      0     0 ?        S    Apr05   0:00 [irq/165-iwlwifi:queue_9]
root         903  0.0  0.0      0     0 ?        S    Apr05   0:00 [nv_queue]
root         904  0.0  0.0      0     0 ?        S    Apr05   0:00 [irq/166-iwlwifi:queue_10]
root         905  0.0  0.0      0     0 ?        S    Apr05   0:00 [irq/167-iwlwifi:queue_11]
root         906  0.0  0.0      0     0 ?        S    Apr05   0:00 [irq/168-iwlwifi:queue_12]
root         907  0.0  0.0      0     0 ?        S    Apr05   0:00 [irq/169-iwlwifi:queue_13]
root         908  0.0  0.0      0     0 ?        S    Apr05   0:00 [irq/170-iwlwifi:queue_14]
root         909  0.0  0.0      0     0 ?        S    Apr05   0:00 [nv_open_q]
root         910  0.0  0.0      0     0 ?        S    Apr05   0:00 [irq/171-iwlwifi:exception]
root         938  0.0  0.0      0     0 ?        S    Apr05   0:00 [nvidia-modeset/kthread_q]
root         939  0.0  0.0      0     0 ?        S    Apr05   0:00 [nvidia-modeset/deferred_close_kthread_q]
root         944  0.0  0.0      0     0 ?        S    Apr05   0:00 [irq/16-processor_thermal_device_pci]
root        1084  0.0  0.0      0     0 ?        S    Apr05   0:00 [jbd2/nvme0n1p6-8]
root        1085  0.0  0.0      0     0 ?        I<   Apr05   0:00 [kworker/R-ext4-rsv-conversion]
systemd+    1173  0.0  0.0  17344  8016 ?        Ss   Apr05   0:24 /usr/lib/systemd/systemd-oomd
systemd+    1174  0.0  0.1  24188 16784 ?        Ss   Apr05   0:07 /usr/lib/systemd/systemd-resolved
root        1175  0.0  0.0  20976  3520 ?        S<sl Apr05   0:00 /usr/bin/auditd
dbus        1206  0.0  0.0   9632  4936 ?        Ss   Apr05   0:00 /usr/bin/dbus-broker-launch --scope system --audit
dbus        1207  0.0  0.0  10256  8392 ?        S    Apr05   0:03 dbus-broker --log 10 --controller 9 --machine-id 13facde82a574414b20cddf3a34e86e2 --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
root        1208  0.0  0.0      0     0 ?        S    Apr05   0:00 [irq/174-nvidia]
root        1210  0.0  0.0      0     0 ?        S    Apr05   0:00 [nv_queue]
avahi       1216  0.0  0.0   6848  5072 ?        Ss   Apr05   0:04 avahi-daemon: running [YuvLUX.local]
root        1217  0.0  0.0   9628  6296 ?        Ss   Apr05   0:00 /usr/libexec/bluetooth/bluetoothd
gnome-r+    1222  0.0  0.1 534480 23884 ?        Ssl  Apr05   0:00 /usr/libexec/gnome-remote-desktop-daemon --system
root        1227  0.0  0.0  81032  4388 ?        Ssl  Apr05   0:03 /usr/sbin/irqbalance
